0,1,2,3,4,5
"+ phosphor i c  acid ,",monosod i um,,s a l t,,"E 4 7 ,  E 5 0 - E5 2 ,  6 7 ,"
,,"6 8 , 7 0 - 7 2 ,","7 5 ,","8 0 - 8 5 ,","8 8 , 8 9 , 9 1 - 9 5"
+ pota s s i um ch l oride,,,"8 0 - 8 5 ,",,"8 8 ,  8 9 ,  9 1 , E2 1 0 ,"
,"E2 1 2 ,","2 2 6 , 2 2 8 ,",,"2 2 9 ,","2 4 0 - 2 4 3 , 2 5 1 , 2 5 2 ,"
,,"2 5 5 , 2 5 7 ,",,"2 6 2 ,","2 6 3 , 2 6 7 , 2 6 8 , 2 7 1"
+ pota s s ium hydrox ide,,,,,"1 8 2 ,  1 8 3 ,  2 0 3 - 2 0 5"
"+ s e l en i c  acid ,",pota s s i um,s a l t,,,"E2 0 8 , 2 4 8"
+ s odium ch loride,,,,,"8 0 - 8 5 , 8 8 , 8 9 , 9 1"
"+ s u l f ur i c  acid ,",pota s s i um,s a l t,,,"E2 1 0 , E2 1 2 ,  2 2 3 ,"
,,,,,"2 3 7 - 2 3 9 ,  2 4 9 ,  2 5 0"
+ urea,,,"E 2 0 8 ,",,"2 3 4 , 2 3 5 , 2 7 4 , 2 7 5"
"d ,  monorubidium s a l t",,,,,
+ wa ter,,,,,"E 3 0 7 - E3 1 1 , 3 1 2 - 3 1 7"
"d , monorubid i um s a l t",( aqueous ),,,,
+ phosphoric  acid,,,,"E 3 0 8 ,","E 3 1 0 ,  3 1 6 ,  3 1 7"
"+ pho sphori c acid ,",ammoni um,sa l t,,,"E 3 0 8 , E3 0 9 , 3 1 3"
+ rubidium ch l or ide,,,,,"E 3 0 7 , 3 1 4"
+ rubidium oxide,,,"E 3 0 8 ,",,"E3 1 0 , 3 1 5 ,  3 1 6 , 3 1 7"
"d , monos odium s a l t",,,,,
+ water,,,"2 0 ,","2 4 ,","2 5 ,  E 3 9 -E4 2 ,  4 3 - 4 5 ,"
,,"E 4 7 - E 5 2 ,","5 3 - 9 7 ,",,"E 3 1 8 - E3 2 0 , 3 2 1 - 3 3 1"
+ water-d2,,,,,"3 3 2 ,  3 3 3"
"d , mono sodium s a l t",( aqueous ),,,,
+ ammoni um c h l oride,,,,,9 0
+ bor i c  acid s odium,s a l t,,,,"E 4  7 ,  7 3 , 7 4"
"+ n i tric  ac i d ,  pota s s i um",,s a l t,,,9 2 - 9 5
"+ n i t r i c  acid , sodium",,s a l t,"E 4 7 ,","E 4 8 ,","5 9 - 6 4 , 7 9 , 9 2 - 9 5"
"+ perch l oric  ac i d ,",sodium,s a l t,,,"E 5 1 , 6 9 , 9 7"
+ phosphor i c  acid,,,,,"1 6 , 2 0 , 2 1 , 2 4 , 2 5"
"+ phosphoric  acid ,",diammon ium,,s a l t,,"E 5 1 ,  8 6 ,  8 7"
"+ pho sphor i c  acid ,",monoammonium,,s a l t,,"E 5 1 , 5 4 , 5 5 - 5 8 ,"
,,,,,"8 6 ,  8 7 ,  9 0"
"+ phosphoric  acid ,",monopota s s ium,,sa l t,,"E4 7 , E 5 0 - E 5 2 , 6 7 ,"
,,"6 8 , 7 0 - 7 2 ,","7 5 ,","8 0 - 8 5 ,","8 8 , 8 9 , 9 1 - 9 5"
+ potas s i um chl oride,,,"E 5 1 ,","E 5 2 ,","8 0 - 8 5 , 8 8 , 8 9 , 9 1"
+ 2 - propanone,,,,,"E 5 1 , 9 6 ,  9 7 ,  E l 2 9"
+ s odium ch l oride,,,"E 4 7 ,","E 4 9 ,","E 5 1 ,  E 5 2 ,  6 5 ,  6 6 ,"
,,,"7 6 - 7 8 ,","8 0 - 8 5 ,","8 8 , 8 9 , 9 0 ,  9 1"
"+ s u l furic  aci d ,",di sodium,s a l t,,,"E 5 1 , 5 3"
"d ,  tripota s s i um s a l t",,,,,
+ wate r,,,"E l 6 8 - El 7 1 ,",,"E 2 9 7 , 2 9 8 - 3 0 6"
"d , tripota s s i um sa l t",( aqueous ),,,,
+ ammonia,,,,,"E2 9 7 ,  3 0 0 , 3 0 1"
"+ bor ic  acid , pota s s i um",,s a l t,,,"E 2 9 7 , 3 0 4"
"+ ni trous acid , pota s s i um",,s a l t,,,"E2 9 7 , 3 0 3"
+ pho sphoric aci d,,,"E l 6 8 - E l 7 1 ,",,"1 7 5 - 1 7 7 ,  1 8 4 - 2 0 2"
"+ phosphor ic aci d ,",tri sodium,s a l t,,,"E l 2 9 ,  1 4 9 , 1 6 5"
+ pota s s i um hvdroxide,,,,,"E l 6 8 - E l  7 1 , 1 8 4 - 2 0 2"
